KPI	サブKPI	タイプ	期日	KDI	頻度	月目標	閾値	KDI期日	KDI開始日
1. 事業推進力	開発・マーケIssue毎週5件以上起票を継続			Issue起票（平日毎日）	daily		90
2. PdM力	新サービスのスクショ分析を毎営業日3件以上継続			スクショ分析（毎営業日）	daily		90
2. PdM力	PdM業務での生成AI活用テンプレ整備・毎週1件反映			AI活用テンプレ反映（週1）	weekly	4	90
3. マネジメント力	週1回以上メンバーへの成果直結FB・同一指摘繰返し20%以下			メンバーFB（週1）	weekly	4	90
4. マインドセット	マインドチェックリストを毎営業日確認・日次振返り記録を習慣化			マインドチェック（毎日）	daily		90
4. マインドセット	発言・意思決定前に「言い訳でないか」自己チェック習慣化			言い訳チェック（毎日）	daily		90
4. マインドセット	アウトプット前に「コンパッションが低くないか」確認習慣化			コンパッション確認（毎日）	daily		90
4. マインドセット	タスクリストを毎営業日見直し「最大限やり切る内容か」確認習慣化			タスク見直し（毎日）	daily		90
4. マインドセット	毎日日記（感情・事実・課題・次の行動）を記録する習慣化			日記（毎日）	daily		90
4. マインドセット	経営者発信（note/X等）毎日3件確認・要点1行メモ習慣化			経営者発信チェック（毎日）	daily		90
4. マインドセット	フィードバックをFBリストに追加→行動習慣に組込み・同じ指摘繰返しなし			FBリスト反映（週1）	weekly	4	90
5. パフォーマンス	週4回以上の運動を習慣化			運動（週4）	weekly	16	90
5. パフォーマンス	業務時間内の業務完了を習慣化			業務完了（毎日）	daily		90
5. パフォーマンス	食事のルーティンを確立			食事ルーティン（毎日）	daily		90
5. パフォーマンス	個人・PJタスク管理表を毎週金曜に最新化			タスク管理表更新（週1）	weekly	4	90
5. パフォーマンス	毎日15分間の瞑想を習慣化			瞑想15分（毎日）	daily		90
6. デザイン・UX理解	Goodpatch Blog等を毎営業日確認・学び1メモ以上習慣化			デザインメディア確認（毎営業日）	daily		90
7. ポジション・評価の向上	月次・四半期目標を開始前に設定完了を徹底			月次目標設定（月1）	monthly	1	90
7. ポジション・評価の向上	日報で昇格要件に基づく振返り習慣化			日報振返り（毎日）	daily		90
7. ポジション・評価の向上	毎週金曜にグレード要件振返り・改善策洗出し習慣化			グレード要件振返り（週1）	weekly	4	90
7. ポジション・評価の向上	毎週金曜に360度評価振返り・改善策洗出し習慣化			360度評価振返り（週1）	weekly	4	90
